keyword,subj,positive,negative,anger,disgust,fear,happy,sad,surprise
αλογικής,0.5,0.0,0.75,0.3125,0.3125,0.0,0.0,0.125,0.1875
κατάσβηνες,0.25,0.0,0.5,0.1875,0.1875,0.0625,0.1875,0.0,0.1875
αμίμητή,0.375,0.5,0.0,0.0,0.0,0.0,0.3125,0.0,0.4375
κάποιοι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
φρικιασμένοι,1.0,0.0,1.0,0.25,0.6875,0.5,0.0,0.25,0.5
μελαγχολικότερος,0.75,0.0,1.0,0.0,0.125,0.0,0.0,0.5625,0.125
ρομαντικής,0.625,1.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.375
σκανδάλιζα,0.75,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.4375
σκατόγερους,1.0,0.0,1.0,0.75,0.8125,0.0,0.0,0.0,0.375
τυχερότατε,0.5,0.75,0.25,0.0,0.0625,0.0,0.375,0.0,0.4375
θερμικής,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
στατικοί,0.375,0.0,0.75,0.0,0.125,0.0,0.0,0.0,0.0625
χείριστος,0.5,0.0,0.75,0.25,0.375,0.375,0.0,0.1875,0.25
απαγγέλλεις,0.25,0.5,0.5,0.0,0.0,0.0,0.125,0.0,0.0
στοργικότατα,0.875,1.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.25
συλλυπούνται,0.75,0.0,1.0,0.0,0.0625,0.0,0.0,0.625,0.25
άνοια,0.375,0.0,0.75,0.1875,0.25,0.0,0.0,0.3125,0.0
ξενόφοβής,0.625,0.0,1.0,0.3125,0.3125,0.5,0.0,0.0,0.25
ψοφολογούν,0.875,0.0,1.0,0.25,0.4375,0.0,0.0,0.0,0.25
θερμόαιμο,0.5,0.5,0.75,0.3125,0.1875,0.125,0.1875,0.125,0.25
κομπογιαννιτών,0.875,0.0,1.0,0.4375,0.5,0.0625,0.0,0.0,0.25
αχόρταγοί,0.625,0.0,1.0,0.3125,0.4375,0.0,0.0,0.0,0.1875
γαμήσατε,1.0,0.5,1.0,0.875,0.5,0.1875,0.3125,0.3125,0.625
συναισθηματικότατες,0.625,1.0,0.25,0.125,0.125,0.125,0.5,0.125,0.375
γάμησες,1.0,0.5,1.0,0.875,0.5,0.1875,0.3125,0.3125,0.625
καλλιτεχνικές,0.25,0.5,0.0,0.0,0.0,0.0,0.3125,0.0,0.3125
κλεφταράς,0.875,0.0,1.0,0.5625,0.625,0.5,0.0,0.0625,0.4375
συντροφέψεις,0.625,1.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.1875
ανακατεύοντάς,0.375,0.0,0.75,0.375,0.625,0.3125,0.0,0.25,0.25
τριτοκοσμικά,0.625,0.0,1.0,0.125,0.5625,0.0,0.0,0.3125,0.1875
αχαριστότερε,0.75,0.0,1.0,0.375,0.4375,0.0,0.0,0.0625,0.125
υποκειμένου,0.375,0.0,0.5,0.3125,0.25,0.0625,0.0,0.0,0.1875
διαπνεύσει,0.5,0.75,0.25,0.0,0.0,0.0,0.3125,0.0,0.1875
τσαρλατάνε,0.5,0.0,0.75,0.1875,0.3125,0.0,0.0,0.0,0.25
έμπλεός,0.75,0.75,0.25,0.0,0.0,0.125,0.625,0.0,0.375
καλυτέρου,0.5,0.75,0.0,0.0,0.0,0.0,0.5625,0.0,0.3125
ευνουχίσετε,0.625,0.0,1.0,0.25,0.3125,0.375,0.0,0.1875,0.3125
οιστρηλατήσεις,0.625,0.75,0.25,0.0,0.0,0.0,0.5,0.0,0.5
οικτίραν,0.75,0.0,1.0,0.1875,0.1875,0.0,0.0,0.8125,0.125
εκλογικευμένος,0.25,0.25,0.25,0.0,0.0625,0.0625,0.0625,0.0,0.0
μπερδεύοντάς,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ευκαιριακότατη,0.25,0.0,0.5,0.125,0.25,0.0,0.0,0.0625,0.25
κανονισμένοι,0.25,0.0,0.5,0.3125,0.0625,0.0,0.0,0.0,0.125
θελήσουνε,0.5,0.5,0.25,0.125,0.125,0.125,0.1875,0.125,0.0
